#     WAVENUMBER        TRANSMISSION
   5752.43971276      0.99801294
   5752.45389724      0.99792214
   5752.46808147      0.99779824
   5752.48226595      0.99763052
   5752.49645042      0.99740292
   5752.51063466      0.99709155
   5752.52481914      0.99665647
   5752.53900337      0.99603133
   5752.55318785      0.99509788
   5752.56737232      0.99363947
   5752.58155656      0.99124323
   5752.59574103      0.98705451
   5752.60992527      0.97920052
   5752.62410975      0.97028039
   5752.63829422      0.96722687
   5752.65247846      0.96876473
   5752.66666293      0.97534261
   5752.68084717      0.98501252
   5752.69503164      0.99039295
   5752.70921588      0.99305633
   5752.72340035      0.99454300
   5752.73758483      0.99540308
   5752.75176907      0.99587877
   5752.76595354      0.99607765
   5752.78013778      0.99602642
   5752.79432225      0.99567996
   5752.80850673      0.99489501
   5752.82269096      0.99333723
   5752.83687544      0.99019507
   5752.85105968      0.98489360
   5752.86524415      0.98179916
   5752.87942863      0.98167405
   5752.89361286      0.98400336
   5752.90779734      0.98924977
   5752.92198157      0.99333467
   5752.93616605      0.99513892
   5752.95035028      0.99599930
   5752.96453476      0.99634609
   5752.97871923      0.99628091
   5752.99290347      0.99569641
   5753.00708795      0.99415880
   5753.02127218      0.99197187
   5753.03545666      0.99115784
   5753.04964113      0.99147813
   5753.06382537      0.99296421
   5753.07800984      0.99546268
   5753.09219408      0.99692890
   5753.10637856      0.99761054
   5753.12056303      0.99799033
   5753.13474727      0.99822547
   5753.14893174      0.99838238
   5753.16311598      0.99849316
   5753.17730045      0.99857464
   5753.19148469      0.99863635
   5753.20566916      0.99868422
   5753.21985364      0.99872195
   5753.23403788      0.99875198
   5753.24822235      0.99877595
   5753.26240659      0.99879500
   5753.27659106      0.99880994
   5753.29077554      0.99882132
   5753.30495977      0.99882962
   5753.31914425      0.99883503
   5753.33332849      0.99883770
   5753.34751296      0.99883764
   5753.36169744      0.99883481
   5753.37588167      0.99882895
   5753.39006615      0.99881972
   5753.40429688      0.99880655
   5753.41848125      0.99878863
   5753.43266563      0.99876481
   5753.44685001      0.99873325
   5753.46103438      0.99869137
   5753.47521876      0.99863489
   5753.48940314      0.99855738
   5753.50358751      0.99844772
   5753.51777189      0.99828609
   5753.53195627      0.99803493
   5753.54614064      0.99762068
   5753.56032503      0.99688849
   5753.57450940      0.99546950
   5753.58869377      0.99338576
   5753.60287815      0.99240182
   5753.61706252      0.99248129
   5753.63124691      0.99355243
   5753.64543128      0.99563691
   5753.65961567      0.99699676
   5753.67380005      0.99760395
   5753.68798441      0.99791527
   5753.70216879      0.99808242
   5753.71635318      0.99816866
   5753.73053753      0.99820389
   5753.74472192      0.99820252
   5753.75890630      0.99817142
   5753.77309066      0.99811325
   5753.78727505      0.99802726
   5753.80145943      0.99791026
   5753.81564382      0.99775617
   5753.82982817      0.99755486
   5753.84401256      0.99729093
   5753.85819694      0.99694069
   5753.87238130      0.99646800
   5753.88656569      0.99581406
   5753.90075007      0.99488066
   5753.91493446      0.99349521
   5753.92911881      0.99133901
   5753.94330323      0.98781205
   5753.95748758      0.98168152
   5753.97167194      0.97022829
   5753.98585635      0.95668073
   5754.00004071      0.95169270
   5754.01422507      0.95356390
   5754.02840948      0.96265969
   5754.04259384      0.97666078
   5754.05677819      0.98484402
   5754.07096261      0.98911488
   5754.08514696      0.99188093
   5754.09933132      0.99398610
   5754.11351573      0.99534131
   5754.12770009      0.99619958
   5754.14188445      0.99679086
   5754.15606886      0.99721892
   5754.17025322      0.99753936
   5754.18443763      0.99778606
   5754.19862199      0.99798043
   5754.21280634      0.99813610
   5754.22699076      0.99826300
   5754.24117512      0.99836818
   5754.25535947      0.99845595
   5754.26954389      0.99853003
   5754.28372824      0.99859320
   5754.29791260      0.99864743
   5754.31209701      0.99869424
   5754.32628137      0.99873509
   5754.34046572      0.99877082
   5754.35465014      0.99880223
   5754.36883450      0.99882998
   5754.38301891      0.99885458
   5754.39720327      0.99887650
   5754.41138768      0.99889603
   5754.42557204      0.99891345
   5754.43975639      0.99892899
   5754.45394075      0.99894287
   5754.46812510      0.99895529
   5754.48230958      0.99896636
   5754.49649394      0.99897624
   5754.51067829      0.99898496
   5754.52486265      0.99899261
   5754.53904700      0.99899922
   5754.55323136      0.99900481
   5754.56741583      0.99900939
   5754.58160019      0.99901291
   5754.59578454      0.99901529
   5754.60996890      0.99901641
   5754.62415326      0.99901614
   5754.63833761      0.99901418
   5754.65252209      0.99901030
   5754.66670644      0.99900399
   5754.68089080      0.99899452
   5754.69507515      0.99898081
   5754.70925951      0.99896109
   5754.72344398      0.99893271
   5754.73762834      0.99889120
   5754.75181270      0.99882883
   5754.76599705      0.99873089
   5754.78018141      0.99856857
   5754.79436576      0.99828162
   5754.80855024      0.99772875
   5754.82273459      0.99677097
   5754.83691895      0.99590166
   5754.85110331      0.99557665
   5754.86528766      0.99584865
   5754.87947202      0.99671284
   5754.89365649      0.99768784
   5754.90784085      0.99831161
   5754.92202520      0.99860712
   5754.93620956      0.99876807
   5754.95039392      0.99886549
   5754.96457839      0.99892886
   5754.97876275      0.99897238
   5754.99294710      0.99900351
   5755.00713146      0.99902657
   5755.02131581      0.99904405
   5755.03550017      0.99905763
   5755.04968464      0.99906830
   5755.06386900      0.99907664
   5755.07805336      0.99908325
   5755.09223771      0.99908842
   5755.10642207      0.99909244
   5755.12060654      0.99909548
   5755.13479090      0.99909768
   5755.14897525      0.99909907
   5755.16315961      0.99909965
   5755.17734396      0.99909948
   5755.19152832      0.99909854
   5755.20571280      0.99909678
   5755.21989715      0.99909417
   5755.23408151      0.99909059
   5755.24826586      0.99908583
   5755.26245022      0.99907971
   5755.27663457      0.99907186
   5755.29081905      0.99906189
   5755.30500340      0.99904934
   5755.31918776      0.99903334
   5755.33337212      0.99901275
   5755.34755647      0.99898584
   5755.36174095      0.99894971
   5755.37592530      0.99890003
   5755.39010966      0.99882946
   5755.40429401      0.99872445
   5755.41847849      0.99855927
   5755.43266273      0.99828148
   5755.44684720      0.99777373
   5755.46103144      0.99680021
   5755.47521591      0.99578892
   5755.48940039      0.99523592
   5755.50358462      0.99478329
   5755.51776910      0.99453076
   5755.53195333      0.99497159
