2M13420678+2813228   2.224 M3
2M13420678+2813228   2.210 M3
2M13420678+2813228   2.223 M3
2M13420729+2817400   2.024 M3
2M13420729+2817400   2.012 M3
2M13420737+2819485   2.012 M3
2M13420737+2819485   1.999 M3
2M13420737+2819485   1.991 M3
2M13420761+2821254   1.170 M3
2M13420793+2823243   0.626 M3
2M13420837+2825541   2.012 M3
2M13420837+2825541   2.011 M3
2M13420842+2823041   0.873 M3
2M13420853+2833029   1.936 M3
2M13420853+2833029   1.952 M3
2M13420876+2821125   0.723 M3
2M13420876+2821125   0.725 M3
2M13420895+2823471   0.647 M3
2M13420915+2825401   1.458 M3
2M13420954+2819531   0.918 M3
2M13420989+2824085   1.432 M3
2M13421028+2824044   0.823 M3
2M13421086+2823465   0.532 M3
2M13421089+2824080   1.616 M3
2M13421102+2821270   1.692 M3
2M13421142+2815300   2.600 M3
2M13421142+2815300   2.616 M3
2M13421196+2825210   1.767 M3
2M13421204+2826265   0.508 M3
2M13421204+2826265   0.508 M3
2M13421236+2818373   1.383 M3
2M13421236+2818373   1.381 M3
2M13421236+2818373   1.376 M3
2M13421236+2825570   1.928 M3
2M13421266+2820420   1.112 M3
2M13421329+2819508   0.826 M3
2M13421329+2819508   0.822 M3
2M13421373+2821154   1.819 M3
2M13421373+2821154   1.818 M3
2M13421428+2825316   0.790 M3
2M13421435+2821228   1.759 M3
2M13421553+2821237   1.912 M3
2M13421593+2820363   1.625 M3
2M13421659+2823020   1.614 M3
2M13421679+2823479   0.750 M3
2M13421712+2822137   0.808 M3
2M13421727+2823011   1.099 M3
2M13421741+2830117   2.273 M3
2M13421741+2830117   2.267 M3
2M13421801+2820197   1.801 M3
2M13421881+2824441   0.963 M3
2M13421881+2824441   0.964 M3
2M13421917+2823487   1.026 M3
2M13421973+2822440   1.462 M3
2M13421985+2824515   1.412 M3
2M13421985+2824515   1.409 M3
2M13422091+2824011   1.669 M3
2M13422187+2814412   2.192 M3
2M13422187+2814412   2.214 M3
2M13422197+2828408   1.585 M3
2M13422197+2828408   1.595 M3
2M13422214+2824057   1.164 M3
2M13422216+2817065   1.954 M3
2M13422216+2817065   1.960 M3
2M13422257+2821460   2.094 M3
2M13422387+2824418   1.864 M3
2M13422387+2824418   1.868 M3
2M13422416+2826168   1.793 M3
2M13422416+2826168   1.791 M3
2M13422416+2826168   1.792 M3
2M13422468+2813268   2.200 M3
2M13422468+2823284   1.944 M3
2M13422468+2823284   1.947 M3
2M13422481+2820035   2.360 M3
2M13422490+2832490   2.167 M3
2M13422490+2832490   2.166 M3
2M13422627+2827291   2.324 M3
2M13422627+2818480   1.876 M3
2M13422627+2818480   1.889 M3
2M13422632+2805193   2.170 M3
2M13422632+2805193   2.161 M3
2M13422632+2805193   2.196 M3
2M13422716+2813520   2.118 M3
2M13422716+2813520   2.102 M3
2M13422755+2822240   1.967 M3
2M13422815+2818523   1.587 M3
2M13422815+2818523   1.583 M3
2M13422879+2824167   1.324 M3
2M13422879+2824167   1.327 M3
2M13422879+2824167   1.322 M3
2M13423093+2814292   2.218 M3
2M13423140+2822543   1.314 M3
2M13423140+2822543   1.314 M3
2M13423196+2827025   1.482 M3
2M13423209+2823022   1.818 M3
2M13423256+2831052   2.120 M3
2M13423256+2831052   2.136 M3
2M13423256+2831052   2.136 M3
2M13423316+2818484   2.343 M3
2M13423316+2818484   2.335 M3
2M13423433+2825005   1.804 M3
2M13423433+2825005   1.802 M3
2M13423482+2826148   1.984 M3
2M13423482+2826148   1.971 M3
2M13423482+2826148   1.968 M3
2M13423548+2819583   1.214 M3
2M13423548+2819583   1.214 M3
2M13423548+2819583   1.224 M3
2M13423658+2822039   2.489 M3
2M13423753+2816374   1.488 M3
2M13423753+2816374   1.497 M3
2M13423883+2823306   1.725 M3
2M13423883+2823306   1.729 M3
2M13423922+2827574   0.805 M3
2M13423922+2827574   0.804 M3
2M13423922+2827574   0.805 M3
2M13424041+2830212   2.255 M3
2M13424041+2830212   2.240 M3
2M13424150+2819081   0.440 M3
2M13424150+2819081   0.440 M3
2M13424150+2819081   0.443 M3
2M13424279+2813196   2.140 M3
2M13424279+2813196   2.144 M3
2M13424417+2823088   2.325 M3
2M13424417+2823088   2.303 M3
2M13424436+2829084   2.212 M3
2M13424436+2829084   2.211 M3
2M13424436+2829084   2.195 M3
2M13424547+2824452   2.023 M3
2M13424547+2824452   2.032 M3
2M13424652+2832065   2.365 M3
2M13424652+2832065   2.363 M3
2M13424924+2823523   1.753 M3
2M13424924+2823523   1.753 M3
2M13424924+2823523   1.754 M3
2M13424968+2818038   1.701 M3
2M13424968+2818038   1.728 M3
2M13425083+2827576   1.789 M3
2M13425083+2827576   1.802 M3
2M13425083+2827576   1.790 M3
2M13425256+2818445   1.824 M3
2M13425256+2818445   1.836 M3
2M13425291+2809446   2.175 M3
2M13425291+2809446   2.190 M3
2M13425567+2822070   2.422 M3
2M13430125+2811344   2.333 M3
2M13430125+2811344   2.305 M3
