id            cl    vrad    teff    logg    feh    cfe    nfe    ofe    mgfe    alfe    sife    cafe    tife    pop limit    rah ram ras decd decm decs J    H    K
2M17165738+4307236    M92    -122.0    4518    0.84    -2.17    -0.26    0.90    0.68    0.37    -0.19    0.37    0.15    9999    1    1       17 16 57.38 +43 07 23.6      10.280 9.683 9.565 
2M17165772+4314115    M92    -118.6    4661    1.14    -2.33    9999    9999    9999    0.58    -0.04    0.56    -0.05    9999    1    0       17 16 57.72 +43 14 11.5     11.534 10.968 10.865 
2M17170588+4310171    M92    -118.8    4729    1.31    -2.26    9999    9999    9999    0.25    0.68    0.49    0.06    9999    2    0       17 17 05.88 +43 10 17.1     11.155 10.626 10.507 
2M17170731+4309308    M92    -114.0    4677    1.18    -2.10    9999    9999    9999    0.19    0.48    0.34    -0.07    9999    2    0       17 17 07.31 +43 09 30.8      11.142 10.603 10.478
2M17171307+4309483    M92    -122.5    4531    0.88    -2.14    -0.39    1.15    0.60    0.23    0.83    0.40    0.40    0.37    2    1       17 17 13.07 +43 09 48.3      10.311 9.700 9.600 
2M17171342+4308305    M92    -111.8    4504    0.80    -2.23    -0.51    0.51    0.66    0.42    -0.12    0.52    0.02    9999    1    1       17 17 13.42 +43 08 30.5      10.222 9.598 9.502 
2M17171412+4310462    M92    -118.2    4558    0.94    -2.12    9999    9999    9999    0.22    0.85    0.43    0.00    -0.07   2    0       17 17 14.12 +43 10 46.2      10.273 9.674 9.571 
2M17171467+4306248    M92    -124.7    4626    1.09    -2.19    9999    9999    9999    0.16    1.04    0.58    0.28    0.09    2   0       17 17 14.67 +43 06 24.8     10.966 10.382 10.286 
2M17163772+4308411    M92    -123.6    4974    1.87    -2.17    9999    9999    9999    0.16    -0.37    0.31    9999    9999    1   0       17 16 37.72 +43 08 41.1     11.976 11.443 11.399 
2M17164395+4307318    M92    -104.9    4903    1.70    -2.34    9999    9999    9999    0.34    -0.25    0.41    9999    9999    1   0       17 16 43.95 +43 07 31.8     12.811 12.334 12.214 
2M17165612+4304073    M92    -123.6    4889    1.66    -2.18    9999    9999    9999    -0.30    0.99    0.59    9999    9999    2   0       17 16 56.12 +43 04 07.3     12.216 11.686 11.615 
2M17165652+4308156    M92    -122.5    4878    1.63    -2.23    9999    9999    9999    0.51    -0.07    0.52    0.15    9999    1   0       17 16 56.52 +43 08 15.6     12.451 11.941 11.847 
2M17165994+4309307    M92    -124.9    4709    1.27    -2.27    9999    9999    9999    0.29    0.20    0.44    9999    9999    1   0       17 16 59.94 +43 09 30.7     12.377 11.808 11.723 
2M17170033+4311478    M92    -116.8    5007    1.95    -2.35    9999    9999    9999    0.34    0.83    0.61    0.19    9999    2   0       17 17 00.33 +43 11 47.8     12.123 11.609 11.555 
2M17170351+4306147    M92    -116.4    4759    1.38    -2.19    9999    9999    9999    -0.30    0.69    0.61    -0.18    9999    2    0       17 17 03.51 +43 06 14.7     12.019 11.459 11.380 
2M17170538+4309100    M92    -120.9    4830    1.53    -2.38    9999    9999    9999    0.06    0.73    0.48    9999    9999    2    0       17 17 05.38 +43 09 10.0     12.473 11.977 11.855 
2M17170709+4309362    M92    -116.3    4749    1.35    -2.40    9999    9999    9999    -0.12    1.01    0.76    -0.16    9999    2    0       17 17 07.09 +43 09 36.2     12.117 11.528 11.475 
2M17170985+4307144    M92    -126.2    4938    1.78    -2.09    9999    9999    9999    0.32    -0.25    0.53    9999    9999    1    0       17 17 09.85 +43 07 14.4     13.406 12.953 12.819 
2M17171043+4311076    M92    -110.8    4410    0.57    -2.30    -0.57    1.09    0.67    0.33    -0.20    0.41    0.22    -0.17   1    1       17 17 10.43 +43 11 07.6     10.157 9.5540 9.4050 
2M17171654+4310449    M92    -109.8    4648    1.14    -2.38    9999    9999    9999    0.41    -0.29    0.47    9999    0.35    1    0       17 17 16.54 +43 10 44.9     11.151 10.552 10.478 
2M13125038+1814391    M53    -60.0    4648    1.27    -1.97    9999    9999    9999    0.22    0.80    0.37    0.28    0.27    2    0       13 12 50.38 +18 14 39.1        13.449 12.857 12.774 
2M13125496+1805350    M53    -63.6    4734    1.48    -1.98    9999    9999    9999    0.29    0.66    0.45    0.44    0.16    2   0       13 12 54.96 +18 05 35.0     13.263 12.704 12.615 
2M13125650+1812375    M53    -58.9    4570    1.11    -2.12    9999    9999    9999    0.34    0.94    0.49    0.40    0.39    2   0       13 12 56.50 +18 12 37.5     13.353 12.806 12.653 
2M13123617+1807320    M53    -56.5    4505    1.02    -1.96    -0.22    0.84    0.66    0.45    -0.12    0.46    0.51    0.40    1   1       13 12 36.17 +18 07 32.0      12.785 12.136 12.063
2M13123737+1808232    M53    -57.6    4229    0.48    -1.87    -0.64    0.98    0.51    0.33    0.20    0.33    0.20    0.13    1   1       13 12 37.37 +18 08 23.2      11.763 11.086 10.942
2M13124552+1811289    M53    -61.9    4206    0.48    -1.88    -0.65    1.39    0.53    0.18    0.98    0.37    0.14    0.21    2   1       13 12 45.52 +18 11 28.9      11.271 10.541 10.441
2M13124768+1810060    M53    -68.3    4496    0.96    -1.88    -0.42    1.11    0.55    0.23    0.97    0.39    0.20    0.27    2   1       13 12 47.68 +18 10 06.0      12.194 11.593 11.469
2M13124794+1806320    M53    -55.1    4564    1.11    -1.99    9999    9999    9999    0.36    -0.17    0.38    0.19    0.29    1   0       13 12 47.94 +18 06 32.0      12.932 12.367 12.230
2M13124819+1812465    M53    -61.7    4534    1.06    -1.86    -0.53    1.17    0.53    0.21    0.75    0.35    -0.12    0.46    2   1       13 12 48.19 +18 12 46.5      12.520 11.883 11.808
2M13124987+1811487    M53    -56.6    4682    1.33    -2.04    9999    9999    9999    0.32    -0.29    0.38    0.02    0.42    1   0       13 12 49.87 +18 11 48.7      13.148 12.586 12.484
2M13125725+1806050    M53    -61.8    4613    1.23    -1.89    9999    9999    9999    0.25    1.07    0.44    0.23    0.42    2   0       13 12 57.25 +18 06 05.0     12.759 12.157 12.073 
2M13125915+1814356    M53    -62.5    4401    0.82    -2.02    -0.54    0.86    0.59    0.24    0.57    0.40    0.25    0.26    2   1       13 12 59.15 +18 14 35.6      11.709 11.064 10.951
2M13130246+1813234    M53    -60.7    4598    1.19    -2.01    9999    9999    9999    0.42    -0.09    0.49    0.34    -0.02   1   0       13 13 02.46 +18 13 23.4      12.879 12.279 12.188
2M13130442+1808556    M53    -59.1    4564    1.11    -1.93    9999    9999    9999    0.37    -0.17    0.44    0.35    0.22    1   0       13 13 04.42 +18 08 55.6     13.377 12.830 12.675 
2M13130531+1814508    M53    -65.6    4670    1.33    -1.92    9999    9999    9999    0.41    -0.10    0.38    0.26    9999    1   0       13 13 05.31 +18 14 50.8     12.608 12.033 11.940 
2M13131736+1814463    M53    -61.5    4583    1.15    -1.94    9999    9999    9999    0.41    -0.13    0.47    -0.01    9999    1   0       13 13 17.36 +18 14 46.3      12.574 11.973 11.878
2M14053119+2831219    N5466    107.9    4808    1.64    -1.92    9999    9999    9999    0.13    -0.52    0.40    9999    9999    1    0   14 05 31.19 +28 31 21.9        13.024 12.517 12.407 
