;
; APOGEE Detector Map
; -------------------
;
; Derived from File: 400mm FINAL 12-9-08 tol with JCW tol rectangular footprint - optimized at 110K - tol TI3 GJF - john addns.ZMX
; Calculated FRI MAY 29 2009
;
; x (spatial), y (spectral) are spot centroid positions in the focal plane
; positions are relative to the zemax origin at the focal plane
; rms is rms spot radius relative to centroid
;
; Field 1: Top Fiber
; Field 2:
; Field 3: Middle Fiber
; Field 4:
; Field 5: Bottom Fiber
;
; Number of Detectors = 3
; Detector Active Area = 2040 pix
; Detector Pixel Size = 18 micron
; Min Gap between adjacent detector active areas = 2.788 mm
; (May be slightly different for UA mount, but this number is close)
; We desire 10 pix (0.18 micron) engineering slop between edge of detector
; and start of coverage on extreme blue and extreme red edges of wavelength coverage
;
; Blue Wavelengths
; Wavelength (um), Field, x (mm), y (mm), rms (mm)
1.5390, 3.0000, 0.0000, 18.9958, 0.0050
1.5390, 4.0000, 8.9905, 19.0014, 0.0048
1.5390, 5.0000, 17.9871, 19.0179, 0.0052
1.5400, 1.0000, -17.9870, 18.4763, 0.0052
1.5400, 2.0000, -8.9905, 18.4599, 0.0049
1.5400, 3.0000, 0.0000, 18.4543, 0.0050
1.5400, 4.0000, 8.9905, 18.4599, 0.0049
1.5400, 5.0000, 17.9870, 18.4763, 0.0052
1.5410, 1.0000, -17.9868, 17.9337, 0.0052
1.5410, 2.0000, -8.9904, 17.9174, 0.0049
1.5410, 3.0000, 0.0000, 17.9119, 0.0051
1.5410, 4.0000, 8.9904, 17.9174, 0.0049
1.5410, 5.0000, 17.9868, 17.9337, 0.0052
1.5420, 1.0000, -17.9867, 17.3902, 0.0052
1.5420, 2.0000, -8.9903, 17.3741, 0.0049
1.5420, 3.0000, 0.0000, 17.3686, 0.0051
1.5420, 4.0000, 8.9903, 17.3741, 0.0049
1.5420, 5.0000, 17.9867, 17.3902, 0.0052
1.5430, 1.0000, -17.9866, 16.8457, 0.0052
1.5430, 2.0000, -8.9903, 16.8297, 0.0049
1.5430, 3.0000, 0.0000, 16.8243, 0.0051
1.5430, 4.0000, 8.9903, 16.8297, 0.0049
1.5430, 5.0000, 17.9866, 16.8457, 0.0052
1.5440, 1.0000, -17.9865, 16.3003, 0.0052
1.5440, 2.0000, -8.9902, 16.2845, 0.0050
1.5440, 3.0000, 0.0000, 16.2791, 0.0052
1.5440, 4.0000, 8.9902, 16.2845, 0.0050
1.5440, 5.0000, 17.9865, 16.3003, 0.0052
1.5450, 1.0000, -17.9864, 15.7539, 0.0052
1.5450, 2.0000, -8.9902, 15.7382, 0.0050
1.5450, 3.0000, 0.0000, 15.7329, 0.0052
1.5450, 4.0000, 8.9902, 15.7382, 0.0050
1.5450, 5.0000, 17.9864, 15.7539, 0.0052
1.5460, 1.0000, -17.9863, 15.2066, 0.0052
1.5460, 2.0000, -8.9901, 15.1910, 0.0050
1.5460, 3.0000, 0.0000, 15.1858, 0.0052
1.5460, 4.0000, 8.9901, 15.1910, 0.0050
1.5460, 5.0000, 17.9863, 15.2066, 0.0052
1.5470, 1.0000, -17.9862, 14.6583, 0.0052
1.5470, 2.0000, -8.9901, 14.6429, 0.0050
1.5470, 3.0000, 0.0000, 14.6376, 0.0052
1.5470, 4.0000, 8.9901, 14.6429, 0.0050
1.5470, 5.0000, 17.9862, 14.6583, 0.0052
1.5480, 1.0000, -17.9862, 14.1090, 0.0052
1.5480, 2.0000, -8.9901, 14.0937, 0.0050
1.5480, 3.0000, 0.0000, 14.0885, 0.0052
1.5480, 4.0000, 8.9901, 14.0937, 0.0050
1.5480, 5.0000, 17.9862, 14.1090, 0.0052
1.5490, 1.0000, -17.9861, 13.5587, 0.0052
1.5490, 2.0000, -8.9901, 13.5436, 0.0050
1.5490, 3.0000, 0.0000, 13.5384, 0.0052
1.5490, 4.0000, 8.9901, 13.5436, 0.0050
1.5490, 5.0000, 17.9861, 13.5587, 0.0052
1.5500, 1.0000, -17.9861, 13.0075, 0.0052
