# Wavelength Field x y rms
1.6660 1.0000 -18.1062 -60.1630 0.0101
1.6660 2.0000 -9.0496 -60.1476 0.0083
1.6660 3.0000 0.0000 -60.1426 0.0077
1.6660 4.0000 9.0496 -60.1476 0.0083
1.6660 5.0000 18.1062 -60.1630 0.0101
1.6670 1.0000 -18.1088 -60.9065 0.0103
1.6670 2.0000 -9.0509 -60.8906 0.0085
1.6670 3.0000 0.0000 -60.8854 0.0079
1.6670 4.0000 9.0509 -60.8906 0.0085
1.6670 5.0000 18.1088 -60.9065 0.0103
1.6680 1.0000 -18.1115 -61.6529 0.0105
1.6680 2.0000 -9.0523 -61.6364 0.0087
1.6680 3.0000 0.0000 -61.6311 0.0081
1.6680 4.0000 9.0523 -61.6364 0.0087
1.6680 5.0000 18.1115 -61.6529 0.0105
1.6690 1.0000 -18.1143 -62.4021 0.0108
1.6690 2.0000 -9.0536 -62.3851 0.0089
1.6690 3.0000 0.0000 -62.3796 0.0083
1.6690 4.0000 9.0536 -62.3851 0.0089
1.6690 5.0000 18.1143 -62.4021 0.0108
1.6700 1.0000 -18.1171 -63.1542 0.0110
1.6700 2.0000 -9.0550 -63.1367 0.0091
1.6700 3.0000 0.0000 -63.1310 0.0084
1.6700 4.0000 9.0550 -63.1367 0.0091
1.6700 5.0000 18.1171 -63.1542 0.0110
1.6710 1.0000 -18.1199 -63.9093 0.0112
1.6710 2.0000 -9.0564 -63.8911 0.0093
1.6710 3.0000 0.0000 -63.8853 0.0086
1.6710 4.0000 9.0564 -63.8911 0.0093
1.6710 5.0000 18.1199 -63.9093 0.0112
1.6720 1.0000 -18.1228 -64.6673 0.0114
1.6720 2.0000 -9.0579 -64.6486 0.0095
1.6720 3.0000 0.0000 -64.6425 0.0088
1.6720 4.0000 9.0579 -64.6486 0.0095
1.6720 5.0000 18.1228 -64.6673 0.0114
1.6730 1.0000 -18.1258 -65.4283 0.0117
1.6730 2.0000 -9.0593 -65.4091 0.0097
1.6730 3.0000 0.0000 -65.4028 0.0091
1.6730 4.0000 9.0593 -65.4091 0.0097
1.6730 5.0000 18.1258 -65.4283 0.0117
1.6740 1.0000 -18.1287 -66.1924 0.0119
1.6740 2.0000 -9.0608 -66.1726 0.0099
1.6740 3.0000 0.0000 -66.1661 0.0093
1.6740 4.0000 9.0608 -66.1726 0.0099
1.6740 5.0000 18.1287 -66.1924 0.0119
1.6750 1.0000 -18.1318 -66.9596 0.0122
1.6750 2.0000 -9.0623 -66.9392 0.0102
1.6750 3.0000 0.0000 -66.9325 0.0095
1.6750 4.0000 9.0623 -66.9392 0.0102
1.6750 5.0000 18.1318 -66.9596 0.0122
1.6760 1.0000 -18.1349 -67.7299 0.0124
1.6760 2.0000 -9.0638 -67.7089 0.0104
1.6760 3.0000 0.0000 -67.7020 0.0097
