# Wavelength Field  x y rms
1.6170 3.0000 0.0000 -26.5909 0.0054
1.6170 4.0000 9.0065 -26.5899 0.0054
1.6170 5.0000 18.0190 -26.5874 0.0058
1.6180 1.0000 -18.0201 -27.2256 0.0058
1.6180 2.0000 -9.0070 -27.2279 0.0054
1.6180 3.0000 0.0000 -27.2288 0.0053
1.6180 4.0000 9.0070 -27.2279 0.0054
1.6180 5.0000 18.0201 -27.2256 0.0058
1.6190 1.0000 -18.0212 -27.8655 0.0059
1.6190 2.0000 -9.0076 -27.8675 0.0053
1.6190 3.0000 0.0000 -27.8683 0.0053
1.6190 4.0000 9.0076 -27.8675 0.0053
1.6190 5.0000 18.0212 -27.8655 0.0059
1.6200 1.0000 -18.0224 -28.5071 0.0059
1.6200 2.0000 -9.0081 -28.5088 0.0053
1.6200 3.0000 0.0000 -28.5095 0.0053
1.6200 4.0000 9.0081 -28.5088 0.0053
1.6200 5.0000 18.0224 -28.5071 0.0059
1.6210 1.0000 -18.0236 -29.1504 0.0059
1.6210 2.0000 -9.0087 -29.1518 0.0053
1.6210 3.0000 0.0000 -29.1525 0.0053
1.6210 4.0000 9.0087 -29.1518 0.0053
1.6210 5.0000 18.0236 -29.1504 0.0059
1.6220 1.0000 -18.0248 -29.7953 0.0059
1.6220 2.0000 -9.0093 -29.7966 0.0053
1.6220 3.0000 0.0000 -29.7971 0.0053
1.6220 4.0000 9.0093 -29.7966 0.0053
1.6220 5.0000 18.0248 -29.7953 0.0059
1.6230 1.0000 -18.0260 -30.4421 0.0060
1.6230 2.0000 -9.0099 -30.4430 0.0053
1.6230 3.0000 0.0000 -30.4434 0.0052
1.6230 4.0000 9.0099 -30.4430 0.0053
1.6230 5.0000 18.0260 -30.4421 0.0060
1.6240 1.0000 -18.0272 -31.0905 0.0060
1.6240 2.0000 -9.0105 -31.0912 0.0053
1.6240 3.0000 0.0000 -31.0915 0.0052
1.6240 4.0000 9.0105 -31.0912 0.0053
1.6240 5.0000 18.0272 -31.0905 0.0060
1.6250 1.0000 -18.0285 -31.7407 0.0061
1.6250 2.0000 -9.0112 -31.7411 0.0053
1.6250 3.0000 -0.0000 -31.7414 0.0052
1.6250 4.0000 9.0112 -31.7411 0.0053
1.6250 5.0000 18.0285 -31.7407 0.0061
1.6260 1.0000 -18.0298 -32.3927 0.0061
1.6260 2.0000 -9.0118 -32.3928 0.0053
1.6260 3.0000 -0.0000 -32.3930 0.0052
1.6260 4.0000 9.0118 -32.3928 0.0053
1.6260 5.0000 18.0298 -32.3927 0.0061
1.6270 1.0000 -18.0311 -33.0465 0.0062
1.6270 2.0000 -9.0124 -33.0463 0.0053
1.6270 3.0000 -0.0000 -33.0464 0.0052
1.6270 4.0000 9.0124 -33.0463 0.0053
1.6270 5.0000 18.0311 -33.0465 0.0062
1.6280 1.0000 -18.0324 -33.7021 0.0062
1.6280 2.0000 -9.0131 -33.7016 0.0053
1.6280 3.0000 -0.0000 -33.7016 0.0052
1.6280 4.0000 9.0131 -33.7016 0.0053
1.6280 5.0000 18.0324 -33.7021 0.0062
1.6290 1.0000 -18.0338 -34.3595 0.0063
1.6290 2.0000 -9.0138 -34.3587 0.0053
1.6290 3.0000 -0.0000 -34.3586 0.0052
1.6290 4.0000 9.0138 -34.3587 0.0053
1.6290 5.0000 18.0338 -34.3595 0.0063
1.6300 1.0000 -18.0351 -35.0188 0.0063
1.6300 2.0000 -9.0145 -35.0177 0.0054
1.6300 3.0000 -0.0000 -35.0175 0.0052
1.6300 4.0000 9.0145 -35.0177 0.0054
1.6300 5.0000 18.0351 -35.0188 0.0063
1.6310 1.0000 -18.0365 -35.6799 0.0064
1.6310 2.0000 -9.0151 -35.6785 0.0054
1.6310 3.0000 -0.0000 -35.6782 0.0052
1.6310 4.0000 9.0151 -35.6785 0.0054
1.6310 5.0000 18.0365 -35.6799 0.0064
1.6320 1.0000 -18.0380 -36.3429 0.0065
1.6320 2.0000 -9.0159 -36.3412 0.0054
1.6320 3.0000 -0.0000 -36.3408 0.0052
