

#Apogee2N fields that have a -S southern counterpart (e.g. 300+75-S) but they don’t have the corresponding -N suffix (and they also overlap with Apogee1)

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         120+30     4528                halo      1    234.049700   86.143200  Ap1/2N_overlap_same_coords                           120+30   Apogee1
         120+30     5664                halo      2    234.050400   86.143300  Ap1/2N_overlap_same_coords                           120+30   Apogee2N
         120+45     4210                halo      1    199.571750   71.975110  Ap1/2N_overlap_same_coords                           120+45   Apogee1
         120+45     5181                halo      5    199.571900   71.975200  Ap1/2N_overlap_same_coords                           120+45   Apogee2N
         120+60     4440                halo      1    195.555620   57.066830  Ap1/2N_overlap_same_coords                           120+60   Apogee1
         120+60     5665                halo      2    195.555800   57.066900  Ap1/2N_overlap_same_coords                           120+60   Apogee2N
         120+75     4485                halo      1    193.881700   42.105000  Ap1/2N_overlap_same_coords                           120+75   Apogee1
         120+75     5098                halo      4    193.881900   42.105000  Ap1/2N_overlap_same_coords                           120+75   Apogee2N
         120-12     4286                disk      1      8.322080   50.768360  Ap1/2N_overlap_same_coords                           120-12   Apogee1
         120-12     5053                disk      2      8.322300   50.768300  Ap1/2N_overlap_same_coords                           120-12   Apogee2N
         150+30     4530                halo      2    116.186420   66.109500  Ap1/2N_overlap_same_coords                           150+30   Apogee1
         150+30     5246                halo      4    116.186400   66.109500  Ap1/2N_overlap_same_coords                           150+30   Apogee2N
         160+45     4211                halo      1    143.976880   55.545310  Ap1/2N_overlap_same_coords                           160+45   Apogee1
         160+45     5179                halo      4    143.976900   55.545300  Ap1/2N_overlap_same_coords                           160+45   Apogee2N
         169+00     4592               disk2      2     79.500000   38.500000  Ap1/2N_overlap_diff_coords                           169+00   Apogee1
         169+00     5066               disk2      2     79.143800   38.132100  Ap1/2N_overlap_diff_coords                           169+00   Apogee2N
         176+00     4593               disk2      1     84.098900   32.117200  Ap1/2N_overlap_diff_coords                           176+00   Apogee1
         176+00     5105               disk2      2     83.939700   32.327800  Ap1/2N_overlap_diff_coords                           176+00   Apogee2N
         180+12     4278                disk      1     98.857380   34.615500  Ap1/2N_overlap_same_coords                           180+12   Apogee1
         180+12     5083                disk      2     98.857400   34.615500  Ap1/2N_overlap_same_coords                           180+12   Apogee2N
         180+60     4442                halo      1    159.883130   39.554470  Ap1/2N_overlap_same_coords                           180+60   Apogee1
         180+60     5247                halo      4    159.883200   39.554500  Ap1/2N_overlap_same_coords                           180+60   Apogee2N
         180+75     4487                halo      5    177.585700   34.449000  Ap1/2N_overlap_same_coords                           180+75   Apogee1
         180+75     5124                halo      5    177.585800   34.449000  Ap1/2N_overlap_same_coords                           180+75   Apogee2N
         180-12     4277                disk      1     75.351580   22.238170  Ap1/2N_overlap_same_coords                           180-12   Apogee1
         180-12     5106                disk      2     75.351700   22.238200  Ap1/2N_overlap_same_coords                           180-12   Apogee2N
         184+00     4594               disk2      1     88.572500   25.718100  Ap1/2N_overlap_diff_coords                           184+00   Apogee1
         184+00     5084               disk2      2     88.712700   25.502400  Ap1/2N_overlap_diff_coords                           184+00   Apogee2N
         191+00     4595               disk2      1     92.583700   19.196500  Ap1/2N_overlap_diff_coords                           191+00   Apogee1
         191+00     5087               disk2      2     92.455800   19.415400  Ap1/2N_overlap_diff_coords                           191+00   Apogee2N
         200+45     4450                halo      1    141.813000   27.598080  Ap1/2N_overlap_same_coords                           200+45   Apogee1
         200+45     5094                halo      4    141.813100   27.598100  Ap1/2N_overlap_same_coords                           200+45   Apogee2N
         210+60     4443                halo      1    159.521580   24.686640  Ap1/2N_overlap_same_coords                           210+60   Apogee1
         210+60     5123                halo      4    159.521700   24.686600  Ap1/2N_overlap_same_coords                           210+60   Apogee2N
         240+60     4444                halo      1    165.877380   11.092890  Ap1/2N_overlap_same_coords                           240+60   Apogee1
         240+60     5178                halo      4    165.877500   11.092900  Ap1/2N_overlap_same_coords                           240+60   Apogee2N
         240+75     4489                halo      1    178.697500   19.610800  Ap1/2N_overlap_same_coords                           240+75   Apogee1
         240+75     5165                halo      4    178.697600   19.610800  Ap1/2N_overlap_same_coords                           240+75   Apogee2N
         270+60     4445                halo      1    177.082960    1.226390  Ap1/2N_overlap_same_coords                           270+60   Apogee1
         270+60     5109                halo      4    177.083100    1.226400  Ap1/2N_overlap_same_coords                           270+60   Apogee2N
         300+60     4446                halo      1    191.392040   -2.838310  Ap1/2N_overlap_same_coords                           300+60   Apogee1
         300+60     5183                halo      4    191.392200   -2.838300  Ap1/2N_overlap_same_coords                           300+60   Apogee2N
         330+60     4447                halo      1    206.010710    0.077830  Ap1/2N_overlap_diff_coords                           330+60   Apogee1
         330+60     5121                halo      4    206.010900   -0.077800  Ap1/2N_overlap_diff_coords                           330+60   Apogee2N
     K01_082+17     4460         kep_apokasc      2    289.533300   50.833700  Ap1/2N_overlap_same_coords                       K01_082+17   Apogee1
     K01_082+17     5001         kep_apokasc      2    289.533200   50.833800  Ap1/2N_overlap_same_coords                       K01_082+17   Apogee2N
     K02_080+18     4406         kep_apokasc      2    285.904210   49.196110  Ap1/2N_overlap_same_coords                       K02_080+18   Apogee1
     K02_080+18     5002         kep_apokasc      1    285.904100   49.196200  Ap1/2N_overlap_same_coords                       K02_080+18   Apogee2N
     K03_077+20     4408         kep_apokasc      3    282.545790   47.420390  Ap1/2N_overlap_same_coords                       K03_077+20   Apogee1
     K03_077+20     5003         kep_apokasc      3    282.545600   47.420400  Ap1/2N_overlap_same_coords                       K03_077+20   Apogee2N
     K04_083+13     4399             kep_koi      2    295.695800   49.901700  Ap1/2N_overlap_same_coords                       K04_083+13   Apogee1
     K04_083+13     5004             kep_koi      6    295.695700   49.901700  Ap1/2N_overlap_same_coords                       K04_083+13   Apogee2N
     K05_080+14     4400         kep_apokasc      2    291.904200   48.436500  Ap1/2N_overlap_same_coords                       K05_080+14   Apogee1
     K05_080+14     5005         kep_apokasc      2    291.904100   48.436500  Ap1/2N_overlap_same_coords                       K05_080+14   Apogee2N
     K06_078+16     4405             kep_koi      3    288.412500   46.875200  Ap1/2N_overlap_same_coords                       K06_078+16   Apogee1
     K06_078+16     5006             kep_koi      6    288.412500   46.875200  Ap1/2N_overlap_same_coords                       K06_078+16   Apogee2N
     K07_075+17     4401             kep_koi      3    285.070800   45.213000  Ap1/2N_overlap_same_coords                       K07_075+17   Apogee1
     K07_075+17     5007             kep_koi      3    285.070600   45.213000  Ap1/2N_overlap_same_coords                       K07_075+17   Apogee2N
     K08_073+19     4409         kep_apokasc      2    281.916710   43.452890  Ap1/2N_overlap_same_coords                       K08_073+19   Apogee1
     K08_073+19     5008         kep_apokasc      3    281.916600   43.452900  Ap1/2N_overlap_same_coords                       K08_073+19   Apogee2N
     K09_081+11     4402         kep_apokasc      3    297.500000   47.398400  Ap1/2N_overlap_same_coords                       K09_081+11   Apogee1
     K09_081+11     5009         kep_apokasc      3    297.499900   47.398500  Ap1/2N_overlap_same_coords                       K09_081+11   Apogee2N
     K10_079+12     4403             kep_koi      2    294.125000   46.004600  Ap1/2N_overlap_same_coords                       K10_079+12   Apogee1
     K10_079+12     5010             kep_koi      5    294.124900   46.004700  Ap1/2N_overlap_same_coords                       K10_079+12   Apogee2N
     K11_076+13     4461         kep_apokasc      2    290.675000   44.466200  Ap1/2N_overlap_same_coords                       K11_076+13   Apogee1
     K11_076+13     5011         kep_apokasc      2    290.674900   44.466200  Ap1/2N_overlap_same_coords                       K11_076+13   Apogee2N
     K12_074+15     4404         kep_apokasc      3    287.400000   42.884000  Ap1/2N_overlap_same_coords                       K12_074+15   Apogee1
     K12_074+15     5012         kep_apokasc      2    287.399900   42.884000  Ap1/2N_overlap_same_coords                       K12_074+15   Apogee2N
     K13_071+16     4410         kep_apokasc      1    284.279210   41.186890  Ap1/2N_overlap_same_coords                       K13_071+16   Apogee1
     K13_071+16     5013         kep_apokasc      2    284.279200   41.186900  Ap1/2N_overlap_same_coords                       K13_071+16   Apogee2N
     K14_080+08     4462         kep_apokasc      2    299.650000   44.871400  Ap1/2N_overlap_same_coords                       K14_080+08   Apogee1
     K14_080+08     5014         kep_apokasc      3    299.649900   44.871400  Ap1/2N_overlap_same_coords                       K14_080+08   Apogee2N
     K15_077+10     4463         kep_apokasc      2    296.129200   43.516700  Ap1/2N_overlap_same_coords                       K15_077+10   Apogee1
     K15_077+10     5015         kep_apokasc      4    296.129200   43.516700  Ap1/2N_overlap_same_coords                       K15_077+10   Apogee2N
     K16_075+11     4464         kep_apokasc      6    292.770800   42.090100  Ap1/2N_overlap_same_coords                       K16_075+11   Apogee1
     K16_075+11     5016         kep_apokasc      4    292.770700   42.090200  Ap1/2N_overlap_same_coords                       K16_075+11   Apogee2N
     K17_072+13     4465         kep_apokasc      2    289.562500   40.538900  Ap1/2N_overlap_same_coords                       K17_072+13   Apogee1
     K17_072+13     5017         kep_apokasc      3    289.562400   40.538900  Ap1/2N_overlap_same_coords                       K17_072+13   Apogee2N
     K18_070+14     4407         kep_apokasc      3    286.487500   38.908110  Ap1/2N_overlap_same_coords                       K18_070+14   Apogee1
     K18_070+14     5018         kep_apokasc      3    286.487400   38.908100  Ap1/2N_overlap_same_coords                       K18_070+14   Apogee2N
     K19_076+07     4466         kep_apokasc      3    297.937500   40.996500  Ap1/2N_overlap_same_coords                       K19_076+07   Apogee1
