APOGEE_ID,DDO51,DDO51ERR,M,MERR,T2,T2ERR
2M10110580-0201480,17.831,0.02,17.869,0.021,16.743,0.019
2M10110985-0230561,0.0,0.0,0.0,0.0,0.0,0.0
2M10111188-0148488,17.775,0.02,17.845,0.021,16.144,0.016
2M10111222-0155209,18.049,0.021,18.089,0.023,16.532,0.017
2M10111625-0136365,13.597,0.018,13.595,0.019,12.642,0.014
2M10111628-0210398,14.703,0.016,14.672,0.02,13.404,0.062
2M10111679-0129597,14.648,0.018,14.605,0.019,11.443,0.014
2M10111679-0129597,0.0,0.0,0.0,0.0,0.0,0.0
2M10111717-0200242,17.844,0.021,17.905,0.022,16.352,0.017
2M10111982-0203371,14.096,0.019,14.128,0.02,12.952,0.014
AP10112119-0212396,18.337,0.02,18.335,0.024,17.038,0.063
2M10112167-0051082,13.501,0.014,13.509,0.017,12.613,0.021
2M10112569-0057007,13.619,0.014,13.565,0.017,12.324,0.021
2M10112671-0159295,19.863,0.04,19.941,0.04,16.877,0.019
2M10112694-0205417,17.8765,0.013829316,17.939499,0.015556349,16.4065,0.032144208
2M10112875-0137450,17.494,0.019,17.553,0.02,16.319,0.016
2M10113282-0143457,0.0,0.0,0.0,0.0,0.0,0.0
2M10113482-0151406,18.151,0.021,18.222,0.022,17.071,0.02
2M10113501-0111110,0.0,0.0,0.0,0.0,0.0,0.0
2M10113736-0228483,15.73,0.014,15.629,0.014,12.894,0.05
2M10113736-0228483,0.0,0.0,0.0,0.0,0.0,0.0
AP10114036-0157323,18.534,0.023,18.552,0.023,17.678,0.025
2M10114127-0156097,18.672,0.022,18.723,0.026,17.317,0.025
2M10114299-0203505,17.742,0.02,17.813,0.021,16.179,0.016
2M10114399-0207515,18.655,0.01627882,18.693,0.01767767,17.3,0.03400368
2M10114682-0114287,15.38,0.019,15.378,0.019,14.122,0.013
2M10114710-0153286,17.817,0.021,17.832,0.022,16.134,0.016
2M10114967-0217426,18.745,0.023,18.792,0.025,17.501,0.065
2M10115012-0123030,14.805,0.019,14.505,0.019,12.917,0.012
2M10115012-0123030,0.0,0.0,0.0,0.0,0.0,0.0
2M10115110-0154426,18.126,0.021,18.183,0.022,16.607,0.018
2M10115131-0135594,18.476,0.021,18.525,0.023,17.069,0.02
2M10115258-0229340,13.488,0.014,13.445,0.014,12.016,0.05
2M10115552-0111261,14.148,0.018,14.115,0.019,12.979,0.012
2M10115593-0235328,13.587,0.014,13.587,0.014,12.644,0.05
2M10115593-0235328,0.0,0.0,0.0,0.0,0.0,0.0
2M10115786-0146546,0.0,0.0,0.0,0.0,0.0,0.0
2M10115947-0107168,13.557501,0.011401754,13.573,0.0127475485,12.7285,0.012349089
2M10115988-0139364,15.263,0.018,15.3,0.019,14.131,0.014
2M10120121-0123119,12.256,0.019,12.272,0.019,11.396,0.013
2M10120138-0147217,0.0,0.0,0.0,0.0,0.0,0.0
2M10120185-0142000,11.37,0.046,11.456,0.042,10.656,0.058
2M10120260-0216582,13.374,0.015,13.365,0.02,12.435,0.062
2M10120529-0137449,17.387,0.019,17.433,0.02,15.752,0.015
2M10120538-0231378,15.199,0.014,15.226,0.014,14.093,0.05
2M10120622-0055056,12.972,0.014,12.981,0.017,12.106,0.022
2M10120624-0145156,13.731,0.018,13.729,0.019,12.742,0.013
2M10120624-0145156,0.0,0.0,0.0,0.0,0.0,0.0
2M10120693-0209048,14.735,0.016,14.615,0.02,13.263,0.062
2M10120769-0058248,13.634,0.014,13.64,0.017,12.806,0.021
2M10120799-0148480,18.653,0.023,18.747,0.025,17.383,0.022
AP10121192-0131471,18.778,0.025,18.764,0.023,17.593,0.027
2M10121582-0124002,18.285,0.022,18.33,0.022,16.837,0.017
2M10121586-0127252,18.604,0.023,18.666,0.022,17.145,0.022
2M10121613-0145482,17.901,0.02,17.958,0.02,16.266,0.016
2M10121623-0144455,18.34,0.02,18.367,0.021,16.947,0.018
2M10121716-0105214,15.8785,0.011800423,15.91,0.0127475485,14.703501,0.012776932
2M10121775-0219409,16.762,0.016,16.746,0.021,15.408,0.062
2M10121973-0154456,18.658,0.025,18.66,0.027,17.278,0.025
2M10121973-0154456,0.0,0.0,0.0,0.0,0.0,0.0
2M10122039-0151485,17.724,0.02,17.754,0.022,15.975,0.016
2M10122199-0147007,0.0,0.0,0.0,0.0,0.0,0.0
2M10122284-0135361,18.547,0.023,18.583,0.023,17.098,0.021
2M10122295-0152342,18.436,0.022,18.479,0.025,17.015,0.021
2M10122452-0216492,16.628,0.016,16.662,0.021,15.554,0.062
2M10122523-0122257,17.527,0.019,17.561,0.02,15.684,0.014
2M10122620-0138301,18.151,0.02,18.22,0.021,16.655,0.018
2M10122660-0225226,0.0,0.0,0.0,0.0,0.0,0.0
2M10122701-0130214,18.551,0.023,18.579,0.022,17.183,0.021
2M10122791-0148052,18.331,0.022,18.416,0.023,16.962,0.022
2M10123230-0200481,20.083,0.041,20.056,0.054,17.329,0.025
2M10123429-0134408,16.792,0.018,16.806,0.019,14.837,0.014
2M10123458-0235289,12.716,0.013,12.715,0.014,11.596,0.05
2M10123548-0153008,17.704,0.02,17.726,0.022,16.647,0.02
2M10123736-0149044,17.761,0.022,17.746,0.023,16.034,0.02
AP10123769-0211303,18.232,0.019,18.26,0.023,16.782,0.063
AP10123769-0211303,0.0,0.0,0.0,0.0,0.0,0.0
2M10123857-0129189,18.737,0.023,18.771,0.024,17.35,0.024
2M10123936-0158518,17.468,0.02,17.514,0.021,16.591,0.018
2M10123936-0158518,0.0,0.0,0.0,0.0,0.0,0.0
2M10123995-0232017,16.145,0.014,16.232,0.015,15.044,0.051
2M10124042-0124516,18.524,0.021,18.591,0.025,17.086,0.021
2M10124101-0130115,17.811,0.019,17.819,0.02,16.115,0.016
2M10124160-0132514,17.779,0.019,17.818,0.02,16.067,0.016
2M10124655-0123480,18.714,0.023,18.71,0.023,17.296,0.022
2M10124915-0108417,13.34,0.019,13.339,0.019,12.395,0.013
2M10124915-0108417,0.0,0.0,0.0,0.0,0.0,0.0
2M10125459-0151383,17.769001,0.0175,17.8225,0.015913831,16.17,0.013453623
2M10125471-0104119,13.758334,0.011185307,13.758334,0.013,12.583333,0.01621385
