KIC_ID,2MASS_ID,ES_AST,ES_SP,CAT,LOGG_SEIS,SIG_LOGG_SEIS,dlogg,NUMAX_WTCOR,SIG_NUM_WTCOR,TEFF_FIT,TEFF_COR,TEFF_COR_ERR,LOGG_FIT,LOGG_COR,LOGG_COR_ERR,FE_H_ADOP_FIT,FE_H_ADOP_COR,FE_H_ADOP_COR_ERR,ALP_FE_ADOP_FIT,ALP_FE_ADOP_COR,ALP_FE_ADOP_COR_ERR,FE_H_RAW,C_M_RAW,N_M_RAW,C_N_RAW,Delta_T
7098252,2M18582628+4237206,2,2,1,2.286715816,0.004549157,-0.057532684,24.1521,0.0056,4686.2,4761.7676,85.15079,2.6291,2.3442485,0.03747408,-0.20567,-0.20523155,0.006939856,0.073982,0.040491,0.007331477,-0.20567,0.010242,0.080146,-0.069904,75.05843211
7206323,2M19342756+4242572,1,1,1,2.286744303,0.004582875,0.085151103,24.8856,0.0053,4414.6,4520.1216,83.32365,2.382,2.2015932,0.062428113,-0.40071,-0.40027153,0.007970756,0.23596,0.202469,0.008301969,-0.40071,0.14338,0.11489,0.02849,-120.205705
3947121,2M19173913+3905558,2,2,1,2.286825559,0.004729562,-0.024626841,24.4487,0.0056,4575.5,4653.592,87.83538,2.5665,2.3114524,0.033038907,0.035904,0.036342453,0.007159188,0.047015,0.013524,0.00704959,0.035904,-0.028599,0.15088,-0.179479,77.91939445
6424406,2M18575618+4152544,1,1,1,2.286901818,0.008289253,0.099116718,25.1768,0.0173,4316.2,4404.0005,74.37155,2.4226,2.1877851,0.055034995,0.013834,0.01427245,0.006067846,0.12385,0.090359,0.006040168,0.013834,0.090847,0.27766,-0.186813,-115.2704663
11456927,2M19310818+4920155,2,2,1,2.286983284,0.004503761,-0.014817216,24.5174,0.0056,4553.2,4644.3066,81.880005,2.5464,2.3018005,0.03300324,-0.20798,-0.20754156,0.006801987,0.2092,0.175709,0.007138456,-0.20798,0.16808,0.13418,0.0339,23.70199742
5018066,2M19351247+4011501,1,1,1,2.286998802,0.006592713,0.010739402,25.0893,0.0129,4348.3,4423.513,72.54505,2.5453,2.2762594,0.051097777,0.30827,0.30870846,0.005213527,0.030905,-0.002586,0.005047977,0.30827,-0.00092053,0.35949,-0.36041053,-69.0279907
9786910,2M19510009+4635338,1,2,1,2.287240183,0.008107366,-0.180017517,23.7567,0.0167,4855.2,4892.1753,85.004944,2.8166,2.4672577,0.040668342,0.23814,0.23857845,0.005813971,0.0030288,-0.0304622,0.005843245,0.23814,-0.081871,0.54509,-0.626961,158.4694196
10921258,2M19293977+4821193,1,1,1,2.287570817,0.004062018,0.002627017,25.0895,0.0044,4359.7,4440.74,73.958595,2.5361,2.2849438,0.05320394,0.17197,0.17240845,0.00558278,0.019999,-0.013492001,0.005497283,0.17197,0.043817,0.27426,-0.230443,-72.76223893
10297802,2M19583286+4719360,1,1,1,2.287866957,0.00435698,-0.001080043,24.6787,0.0053,4512.2,4599.956,79.118095,2.5155,2.288947,0.058082756,-0.018261,-0.01782255,0.006155937,0.04531,0.011819001,0.006304115,-0.018261,-0.1322,0.25717,-0.38937,-58.63961716
7215396,2M19435904+4246388,1,1,1,2.287878915,0.004220705,-0.062823885,24.6802,0.0044,4511.9,4606.4014,80.574684,2.5542,2.3507028,0.06066122,-0.17524,-0.17480154,0.006665757,0.045387,0.011895999,0.006946123,-0.17524,-0.041002,0.19843,-0.239432,-103.5207654
5024517,2M19411893+4011408,1,1,1,2.288192875,0.009393934,-0.364524525,24.3045,0.0199,4659.2,4726.772,85.100784,2.8669,2.6527174,0.05817281,0.054684,0.05512245,0.00649195,0.001616,-0.031875,0.006553242,0.054684,-0.0096326,0.25054,-0.2601726,-24.01952086
7135279,2M19461274+4236490,1,1,1,2.288388368,0.004738647,0.042250468,24.9571,0.0044,4422.7,4511.3594,91.03316,2.4761,2.2461379,0.053767495,-0.0062566,-0.00581815,0.008356316,0.0535,0.020009,0.007893739,-0.0062566,0.024929,0.19249,-0.167561,-41.28086237
10921388,2M19295484+4818090,1,1,1,2.288653982,0.00439885,-0.020284518,24.7732,0.0053,4494.1,4589.255,79.991264,2.5166,2.3089385,0.060129326,-0.15821,-0.15777154,0.006600972,0.056176,0.022684999,0.006854113,-0.15821,0.0095723,0.20638,-0.1968077,-76.99430646
8285510,2M19024828+4416164,1,1,1,2.288907491,0.0071653,-0.008646509,24.652,0.014,4543.7,4642.9185,83.22798,2.4782,2.297554,0.0645291,-0.37193,-0.37149155,0.007384452,0.08001,0.046518996,0.007886385,-0.371,-0.00077975,0.1719,-0.17267975,-100.78473
4543229,2M19010350+3939104,1,1,1,2.289219369,0.004201943,0.066979669,25.1581,0.0044,4369,4467.0835,77.69733,2.4246,2.2222397,0.059546433,-0.22671,-0.22627155,0.00683014,0.20736,0.173869,0.007039627,-0.22671,0.11877,0.12777,-0.009,-117.6695921
9575718,2M19023196+4614406,2,2,1,2.28944289,0.004927811,-0.04280711,24.1626,0.0056,4741.3,4816.4214,96.093155,2.6071,2.33225,0.041445654,-0.34488,-0.34444156,0.00890076,0.18157,0.148079,0.009214847,-0.35399,0.13731,0.092572,0.044738,115.7994084
6280428,2M19210394+4136379,2,2,1,2.289472504,0.005558253,-0.078860496,23.9963,0.0069,4807.9,4874.2983,106.37212,2.6707,2.368333,0.044963323,-0.32169,-0.32125154,0.010504159,0.11615,0.082659,0.01046939,-0.32169,0.11839,0.1002,0.01819,148.5118738
9578049,2M19074820+4614093,2,2,1,2.289877139,0.008805,-0.031603161,24.4964,0.0173,4622.2,4707.607,102.88508,2.5865,2.3214803,0.037506383,-0.26203,-0.26159155,0.010288237,0.19335,0.159859,0.010034194,-0.25471,0.16492,0.10329,0.06163,47.38301003
4920997,2M19233926+4003386,2,1,1,2.289882341,0.007710453,-0.454240159,23.8289,0.0141,4884.9,4950.584,109.27052,2.8807,2.7441225,0.06912352,-0.51408,-0.51364154,0.01149045,0.2024,0.168909,0.011761632,-0.51408,0.16165,0.77726,-0.61561,-210.9481371
9467117,2M19310087+4602277,2,1,1,2.290136679,0.004415708,-0.281808521,24.6536,0.0056,4568.9,4637.1973,79.47496,2.8203,2.5719452,0.053740542,0.28294,0.28337845,0.005544712,0.014308,-0.019183,0.005464318,0.27721,0.0076065,0.4224,-0.4147935,-34.06388691
3231208,2M19212903+3821053,2,2,1,2.290249053,0.0049219,-0.046413947,24.0098,0.0056,4819.7,4891.6313,97.437645,2.6153,2.336663,0.045509107,-0.48315,-0.48271155,0.00931309,0.21176,0.178269,0.009889827,-0.48315,0.11708,0.10549,0.01159,109.6332365
7667124,2M19015389+4319599,1,1,1,2.290352945,0.004193856,0.075837245,25.1982,0.0044,4377.9,4474.7485,77.64033,2.4209,2.2145157,0.059192576,-0.19783,-0.19739155,0.00672829,0.13405,0.100558996,0.006921132,-0.19783,0.048507,0.12452,-0.076013,-116.5391682
9457889,2M19144470+4602553,1,1,1,2.290444818,0.004841677,0.062679218,24.9688,0.0044,4460.6,4567.708,94.581,2.4025,2.2277656,0.061583173,-0.43781,-0.43737155,0.009959445,0.20736,0.173869,0.010010672,-0.43264,0.077824,0.075481,0.002343,-105.966753
10415545,2M19434832+4732182,1,1,1,2.290592313,0.004367405,-0.217262687,24.2103,0.0044,4747.7,4821.67,88.040764,2.6824,2.507855,0.06694085,-0.33531,-0.33487156,0.007521395,0.084534,0.051042996,0.008069171,-0.33531,0.048561,0.2481,-0.199539,-2.572561737
8804395,2M19002470+4501107,2,2,1,2.29069185,0.004449785,-0.04348735,24.6227,0.0056,4592.1,4670.2017,80.93128,2.6107,2.3341792,0.03304991,-0.0094044,-0.00896595,0.006179533,0.048988,0.015496999,0.006360692,-0.0047925,0.021244,0.25169,-0.230446,29.53579807
7677317,2M19200778+4322461,2,2,1,2.291644862,0.004399756,-0.010579138,24.8076,0.0056,4543.8,4623.0713,78.81919,2.5473,2.302224,0.030968865,0.094391,0.094829455,0.005829692,0.027791,-0.0057,0.005911619,0.094391,0.012692,0.33614,-0.323448,34.00526936
11139003,2M19302379+4847401,1,1,1,2.291686775,0.008459414,0.045600175,25.5766,0.0173,4275.5,4352.0923,81.098595,2.5124,2.2460866,0.048666358,0.27601,0.27644846,0.006795915,0.022207,-0.011284001,0.006184627,0.27601,0.040853,0.23421,-0.193357,-79.75691419
