KEPLER_INT,2MASS_ID
2305969,2M19282756+3741463
2305987,2M19282828+3741077
2305992,2M19282855+3739572
2306260,2M19284236+3740375
2306469,2M19285206+3736414
2306481,2M19285254+3738311
2306716,2M19290379+3741192
2306740,2M19290475+3741535
2306756,2M19290569+3740176
2306888,2M19291261+3741292
2306916,2M19291394+3738049
2307182,2M19292905+3738296
2307199,2M19292994+3737514
2307415,2M19294105+3740581
2307683,2M19295606+3740555
2307990,2M19301217+3741547
2308429,2M19303383+3739081
2308762,2M19305126+3736492
2308957,2M19310044+3736127
2309235,2M19311618+3737257
2309420,2M19312574+3737262
2309448,2M19312738+3736102
2309469,2M19312880+3738391
2309524,2M19313216+3738361
2309550,2M19313386+3740119
2309587,2M19313593+3739335
2309595,2M19313636+3737281
2309617,2M19313743+3736202
2309690,2M19314211+3739138
2309719,2M19314340+3736239
2309772,2M19314582+3740048
2309910,2M19315318+3739263
2310129,2M19320618+3741449
2310370,2M19321861+3737276
2310479,2M19322456+3740216
2310571,2M19322975+3736463
2311069,2M19325659+3740238
2311130,2M19330007+3739416
2421898,2M19031513+3744072
2422073,2M19033301+3743183
2422362,2M19035757+3745181
2422539,2M19041102+3746108
2422558,2M19041265+3743311
2422568,2M19041345+3743248
2422635,2M19041758+3743261
2422890,2M19043745+3746424
2422998,2M19044617+3744243
2423153,2M19045962+3747082
2423662,2M19053786+3743451
2423737,2M19054423+3742364
2423824,2M19055092+3745351
2423932,2M19055970+3746425
2424039,2M19060901+3747433
2424191,2M19062188+3744302
2424551,2M19065245+3746081
2424791,2M19071089+3746037
2424822,2M19071517+3744455
2424934,2M19072299+3747068
2424955,2M19072522+3746459
2425044,2M19073237+3742291
2425346,2M19075699+3742416
2425348,2M19075722+3744262
2425375,2M19075958+3746382
2425631,2M19081771+3745467
2435987,2M19201973+3746549
2436209,2M19202870+3743169
2436324,2M19203219+3744208
2436332,2M19203266+3746221
2436417,2M19203485+3746298
2436540,2M19203784+3745249
2436688,2M19204102+3743025
2436814,2M19204356+3747019
2436884,2M19204485+3746215
2436900,2M19204517+3744339
2437040,2M19204765+3747322
2437164,2M19204965+3744077
2437171,2M19204971+3743426
2437191,2M19205003+3747282
2437209,2M19205038+3743335
2437340,2M19205259+3744281
2437353,2M19205287+3745331
2437496,2M19205510+3747162
2437507,2M19205530+3743152
2437564,2M19205629+3744334
2437653,2M19205784+3747067
2437692,2M19205862+3747404
2437698,2M19205874+3743130
2437804,2M19210086+3745339
2437805,2M19210086+3746396
2437816,2M19210112+3742134
2437965,2M19210426+3747187
2438051,2M19210629+3744596
2438264,2M19211116+3744581
2438289,2M19211181+3746375
2438333,2M19211300+3743005
2438368,2M19211415+3746578
2438421,2M19211606+3746462
2438462,2M19211725+3743187
2438513,2M19211888+3743232
2439140,2M19214851+3743302
2439233,2M19215339+3743039
2439420,2M19220306+3747033
2439630,2M19221596+3744553
2439798,2M19222543+3743092
2439819,2M19222702+3746244
2440044,2M19224065+3747098
2441154,2M19234503+3744304
2441436,2M19240130+3747567
2441495,2M19240524+3746112
2441510,2M19240624+3745186
2441864,2M19242575+3744445
2441995,2M19243350+3742045
2442118,2M19244036+3746187
2442382,2M19245508+3746317
2442448,2M19245884+3745326
2442483,2M19250117+3742537
2442559,2M19250521+3747533
2442606,2M19250766+3745047
2442751,2M19251541+3742599
2443035,2M19252964+3744385
2443037,2M19252980+3742420
2443045,2M19253035+3742251
2443055,2M19253109+3746059
2443364,2M19254863+3744245
2443393,2M19254980+3744345
2443434,2M19255159+3747425
2443534,2M19255714+3742581
2443543,2M19255750+3743028
2443573,2M19255881+3742189
2443691,2M19260530+3747540
2443903,2M19261694+3745527
2444062,2M19262515+3746498
2444084,2M19262693+3747501
2444316,2M19263863+3743484
2444348,2M19264049+3742146
2444412,2M19264400+3745057
2444532,2M19265082+3742007
2444598,2M19265384+3744148
2444790,2M19270436+3746364
2444933,2M19271252+3747125
2445004,2M19271595+3742001
2445134,2M19272392+3744190
2445330,2M19273334+3743414
2445416,2M19273763+3746125
2445426,2M19273829+3744552
2445947,2M19280577+3746363
2445975,2M19280748+3746252
2446113,2M19281362+3746342
2446141,2M19281505+3747204
2446327,2M19282549+3746240
2446774,2M19284633+3747303
2447046,2M19285988+3745187
2447476,2M19291986+3742170
2447481,2M19292004+3743086
2447529,2M19292229+3746530
2447604,2M19292597+3743597
2447707,2M19293151+3742406
2447773,2M19293516+3746271
2447893,2M19294176+3747402
2447932,2M19294376+3744026
2448225,2M19295922+3747032
2448253,2M19300072+3743272
2448260,2M19300102+3742402
2448382,2M19300850+3742259
2448426,2M19301148+3745447
2448679,2M19302355+3745440
2448756,2M19302783+3746554
2449020,2M19304378+3745086
2449327,2M19310014+3742091
2449374,2M19310208+3746443
2449431,2M19310575+3747517
2449518,2M19311169+3745546
2449558,2M19311366+3745510
2449570,2M19311438+3745553
2449703,2M19312163+3743519
2449858,2M19312958+3742260
2450318,2M19315457+3747319
2450412,2M19315950+3744450
2450729,2M19321765+3742592
2450979,2M19323077+3742266
2451350,2M19325014+3744340
2451509,2M19325837+3742091
2451577,2M19330231+3744222
2451696,2M19330782+3744081
2554042,2M19030120+3749463
2554924,2M19041234+3748521
2555080,2M19042273+3750482
2555088,2M19042365+3751252
2555126,2M19042625+3751325
2555437,2M19044838+3751015
2555684,2M19050713+3749068
2555714,2M19050991+3751260
2556252,2M19055078+3751298
2556297,2M19055308+3750278
2556387,2M19060128+3753106
2556625,2M19062021+3750516
2556640,2M19062145+3750033
2556945,2M19064632+3753242
2557115,2M19065951+3749162
2557302,2M19071356+3753498
2557393,2M19072012+3753489
2557555,2M19073187+3749162
2557864,2M19075503+3751100
2557942,2M19080050+3753506
2558488,2M19084095+3751122
2558794,2M19090843+3753018
2568519,2M19200394+3752274
2568547,2M19200506+3749587
2568563,2M19200622+3753403
2568654,2M19201118+3749482
2568888,2M19202244+3751414
2568912,2M19202341+3749231
2568916,2M19202354+3751229
2569055,2M19203005+3750191
2569078,2M19203092+3748450
2569126,2M19203285+3753488
2569137,2M19203326+3750123
2569204,2M19203519+3748579
2569360,2M19203934+3748048
2569488,2M19204273+3751073
2569516,2M19204377+3749075
2569618,2M19204624+3749105
2569639,2M19204679+3750137
2569891,2M19205247+3750154
2569935,2M19205338+3748282
2569945,2M19205368+3750236
2570032,2M19205620+3752185
2570172,2M19205958+3748108
2570214,2M19210052+3750188
2570370,2M19210564+3751524
2570384,2M19210604+3752049
2570518,2M19211007+3750008
2570578,2M19211176+3752459
2570696,2M19211632+3752154
2570715,2M19211713+3748039
2571093,2M19213390+3750202
2571106,2M19213457+3750039
2571164,2M19213694+3753445
2571238,2M19214099+3751064
2571323,2M19214633+3751523
2571524,2M19215783+3751162
2571850,2M19221694+3748095
2571868,2M19221761+3753084
2571934,2M19222064+3750401
2572029,2M19222593+3748068
2572089,2M19222821+3752242
2572179,2M19223418+3750006
2572323,2M19224153+3751207
2572613,2M19225873+3752385
2572667,2M19230156+3750262
2572681,2M19230210+3753053
2572932,2M19231598+3752389
2573017,2M19232125+3750280
2573092,2M19232571+3752335
2573476,2M19234774+3753162
2573548,2M19235064+3753231
2574191,2M19242558+3748145
2574420,2M19243797+3750260
2574543,2M19244502+3751126
2575024,2M19251086+3753550
2575044,2M19251215+3751212
2575250,2M19252235+3753296
2575390,2M19252921+3748239
2576107,2M19260555+3753155
2576417,2M19262042+3749476
2576692,2M19263432+3748513
2576962,2M19264812+3750374
2576993,2M19265005+3753434
2577330,2M19270638+3749034
2577384,2M19270903+3752028
2577444,2M19271157+3750446
2577743,2M19272630+3753469
2578198,2M19274843+3753327
2578581,2M19280778+3750068
2578725,2M19281421+3750566
2578811,2M19282002+3748528
2578869,2M19282319+3751313
2578893,2M19282481+3751497
2579043,2M19283246+3753226
