3828.5550   ;V I
3828.8360   ;V I
3829.3550   ;Mg I
3829.6750   ;Mn I
3830.4760   ;Nd II
3830.7580   ;Fe I
3830.8620   ;Fe I
3831.6910   ;Ni I
3832.3020   ;Mg I
3832.8710   ;Ni I
3832.8910   ;Y II
3833.0800   ;Sc II
3833.3080   ;Fe I
3833.4670   ;Cr I
3833.8610   ;Mn I
3834.2230   ;Fe I
3834.7230   ;Cr I
3835.384    ;H_{Balmer-9}
3835.5610   ;V I
3835.6850   ;Co I
3835.9640   ;Zr I
3836.0840   ;Ti II
3836.3310   ;Fe I
3836.7640   ;Zr II
3836.7670   ;Ti I
3836.9150   ;Fe I
3837.1350   ;Fe I
3838.2930   ;Mg I
3838.9810   ;Nd II
3839.2560   ;Fe I
3839.6300   ;Fe I
3839.7740   ;Mn I
3840.4370   ;Fe I
3840.7500   ;V I
3841.0480   ;Fe I
3841.2600   ;Cr I
3841.4570   ;Co I
3841.8900   ;V I
3842.0430   ;Co I
3842.8960   ;Fe I
3842.9890   ;Fe I
3843.0490   ;Sc II
3843.2570   ;Fe I
3843.6920   ;Co I
3843.9840   ;Mn I
3844.2590   ;Ni I
3844.4340   ;V I
3844.5660   ;Ni I
3844.8840   ;V I
3845.1920   ;Fe I
3845.4640   ;Co I
3845.6950   ;Fe I
3845.9850   ;Fe I
3846.2830   ;Fe I
3846.4100   ;Fe I
3846.8000   ;Fe I
3846.9340   ;Fe I
3847.3260   ;V I
3848.0210   ;Tm II
3848.2890   ;Fe I
3848.5240   ;Nd II
3849.3320   ;Cr I
3849.5210   ;Cr I
3849.9670   ;Fe I
3850.8180   ;Fe I
3851.7480   ;Nd II
3851.8440   ;Co I
3852.2020   ;Cr I
3852.5730   ;Fe I
3853.0460   ;Ti I
3853.1680   ;Cr I
3853.4570   ;Fe I
3853.7250   ;Ti I
3854.2540   ;Ce II
3854.3670   ;Fe I
3855.3630   ;V I
3855.8450   ;Fe I
3855.8450   ;V I
3856.3720   ;Fe I
3857.8960   ;Ti I
3858.1360   ;Ti I
3858.2970   ;Ni I
3858.8600   ;Mg I
3859.2120   ;Fe I
3859.9110   ;Fe I
3861.1600   ;Co I
3861.3410   ;Fe I
3862.2170   ;V I
3862.8250   ;Ti I
3863.0640   ;Ni I
3863.3270   ;Nd II
3863.7290   ;Fe I
3863.8600   ;V I
3864.1110   ;Mo I
3864.8570   ;V I
3865.5230   ;Fe I
3866.4390   ;Ti I
3867.2160   ;Fe I
3867.6020   ;V I
3867.9210   ;Fe I
3868.2320   ;Fe I
3868.3960   ;Ti I
3869.5910   ;Fe I
3871.7480   ;Fe I
3872.1170   ;Dy II
3872.5010   ;Fe I
3872.9210   ;Fe I
3873.1160   ;Co I
3873.7610   ;Fe I
3873.9490   ;Co I
3874.0540   ;Fe I
3874.5310   ;Cr I
3875.0710   ;V I
3875.2570   ;Ti I
3875.7760   ;Ca I
3875.8980   ;V I
3876.0400   ;Fe I
3876.0820   ;V I
3876.6700   ;Fe I
3876.8270   ;Co I
3876.9740   ;Ce II
3877.5910   ;Ti I
3878.0180   ;Fe I
3878.3050   ;Mg I
3878.5730   ;Fe I
3881.3960   ;Ti I
3881.8590   ;Ni I
3881.8650   ;Co I
3882.1460   ;Ti I
3882.3210   ;Ti I
3882.8910   ;Ti I
3883.2740   ;Cr I
3883.2800   ;Fe I
3883.6450   ;Cr I
3884.0880   ;Ti I
3884.3590   ;Fe I
3884.5960   ;Co I
3884.8440   ;V II
3885.2210   ;Cr I
3885.2860   ;Sm II
3885.5110   ;Fe I
3885.7500   ;Fe I
3885.8690   ;Ni I
3886.2820   ;Fe I
3886.7830   ;Cr I
3887.0480   ;Fe I
3887.8670   ;Nd II
3888.0220   ;Ti I
3888.5140   ;Fe I
3888.8220   ;Fe I
3889.048    ;H_{Balmer-8}
3889.1030   ;Ca I
3889.6660   ;Ni I
3889.9200   ;Fe I
3889.9500   ;Ti I
3890.1780   ;V I
3890.3180   ;Zr I
3890.3960   ;Fe I
3890.8400   ;Fe I
3890.9400   ;Nd II
3891.3870   ;Zr I
3891.5120   ;Nd II
3891.7810   ;Ba II
3891.9130   ;Cr I
3891.9270   ;Fe I
3892.3020   ;Fe I
3892.4440   ;V I
3892.8580   ;V I
3892.9820   ;Fe I
3893.3090   ;Fe I
3893.3900   ;Fe I
3893.6230   ;Ti I
3893.9120   ;Fe I
3894.0680   ;Co I
3894.4900   ;Fe I
3894.6260   ;Nd II
3894.6960   ;Gd II
3894.9720   ;Co I
3895.2420   ;Ti I
3895.4400   ;Fe I
3895.6560   ;Fe I
3896.1470   ;V I
3896.2280   ;Mn I
3896.3360   ;Mn I
3896.6300   ;Fe I
3896.7660   ;Ni I
3896.9770   ;Sm II
3897.0750   ;V I
3897.3090   ;Ti I
3897.4480   ;Fe I
3897.5750   ;Ti I
3897.6410   ;Cr I
3897.8900   ;Fe I
3898.0090   ;Fe I
3898.2670   ;Ce II
3898.4890   ;Ti I
3899.0290   ;Fe I
3899.1360   ;V II
3899.7070   ;Fe I
3900.2260   ;Nd II
3900.5590   ;Ti II
3900.9590   ;Ti I
3901.1560   ;V I
3902.2500   ;V I
3902.9460   ;Fe I
3903.1520   ;Cr I
3903.2650   ;V II
3903.4180   ;Sm II
3903.8980   ;Fe I
3904.0820   ;Fe I
3904.3250   ;Mn I
3904.7840   ;Ti I
3905.0090   ;Fe I
3905.1830   ;Fe I
3905.5230   ;Si I
3905.8850   ;Nd II
3906.0960   ;Nd II
3906.2820   ;Co I
3906.4800   ;Fe I
3906.7470   ;Fe I
3906.9630   ;Fe I
3907.1000   ;Eu II
3907.2560   ;Cr I
3907.4650   ;Fe I
3907.6750   ;Fe I
3907.9340   ;Fe I
3908.4000   ;Ce II
3908.5310   ;Ce II
3908.7430   ;Cr I
3908.9220   ;Ni I
3909.3090   ;Ce II
3909.6570   ;Fe I
3909.8290   ;Fe I
3909.9290   ;Co I
3910.8440   ;Fe I
3910.9990   ;Fe I
3911.1690   ;Nd II
3911.1850   ;Ti I
3911.3630   ;Ti I
3911.6990   ;Fe I
3911.8110   ;Cr I
3911.8150   ;Sc I
3912.1990   ;V I
3912.2900   ;Ni I
3912.4260   ;Ce II
3912.5890   ;Ti I
3912.9750   ;Ni I
3913.4770   ;Ti II
3913.6320   ;Fe I
3914.3340   ;Ti I
3914.5000   ;Fe I
3914.7370   ;Ti I
3915.1310   ;Nd II
3915.4980   ;Co I
3915.8340   ;Cr I
3915.8750   ;Ti I
3915.9370   ;Zr II
3916.2250   ;Cr I
3916.4140   ;V II
3916.4950   ;Gd II
3916.7310   ;Fe I
3916.9670   ;Cr I
3917.1800   ;Fe I
3917.5880   ;Cr I
3918.0900   ;Hf II
3918.3150   ;Fe I
3918.4150   ;Fe I
3918.6410   ;Fe I
3918.9060   ;Nd II
3919.0650   ;Fe I
3919.1460   ;Cr I
3919.8160   ;Ti I
3920.2580   ;Fe I
3920.6460   ;Fe I
3920.8370   ;Fe I
3921.0090   ;Cr I
3921.2720   ;Fe I
3921.4220   ;Ti I
3921.7620   ;Mn I
3921.7960   ;Zr I
3921.9050   ;V I
3922.0620   ;Mn I
3922.3980   ;Sm II
3922.4320   ;V I
3922.6770   ;Mn I
3922.9120   ;Fe I
3923.4770   ;Ca I
3924.0720   ;Mn I
3924.1830   ;Ni I
3924.5270   ;Ti I
3924.6470   ;Ce II
3925.2010   ;Fe I
3925.5330   ;Fe I
3925.6440   ;Fe I
3925.9410   ;Fe I
3926.0130   ;Fe I
3926.3180   ;Ti I
3926.4720   ;Mn I
3927.1050   ;Nd II
3927.9200   ;Fe I
3928.0830   ;Fe I
3928.6240   ;Cr I
3929.1160   ;Fe I
3929.2080   ;Fe I
3929.5300   ;Zr I
3929.8740   ;Ti I
3930.2970   ;Fe I
3930.8760   ;Fe I
3931.1170   ;Fe I
3931.5360   ;Dy II
3932.0210   ;Ti II
3932.6270   ;Fe I
3933.6630   ;Ca II
3934.8230   ;Nd II
3935.3070   ;Fe I
3935.8120   ;Fe I
3935.9580   ;Co I
3937.3280   ;Fe I
3938.0210   ;Fe I
3938.2890   ;Fe II
3938.4000   ;Mg I
3939.1420   ;Ni I
3940.0430   ;Fe I
3940.3260   ;Ce II
3940.8770   ;Fe I
3941.1830   ;Fe I
3941.2750   ;Fe I
3941.4750   ;Cr I
3941.7240   ;Co I
3942.1560   ;Ce II
3942.3640   ;Fe I
3942.4400   ;Fe I
3942.7450   ;Ce II
3943.1650   ;Fe I
3943.3410   ;Fe I
3943.5750   ;Fe I
3944.0060   ;Al I
3944.6820   ;Dy II
3944.7390   ;Fe I
3944.8890   ;Fe I
3945.1170   ;Fe I
3945.3220   ;Co I
3945.9470   ;Cr I
3946.0360   ;Ca I
3946.1900   ;Ni I
3946.5080   ;Sm II
3946.9950   ;Fe I
3947.1210   ;Co I
3947.3790   ;Fe I
3947.5310   ;Fe I
3947.7690   ;Ti I
3948.0970   ;Fe I
3948.2760   ;Fe I
3948.6710   ;Ti I
3948.7750   ;Fe I
3948.9010   ;Ca I
3949.1060   ;La II
3949.2290   ;Fe I
3949.4060   ;Ce II
3949.5810   ;Cr I
3949.9530   ;Fe I
3950.1380   ;Fe I
3950.3500   ;Y II
3950.7810   ;Fe I
3951.1540   ;Nd II
3951.1630   ;Fe I
3951.6380   ;Fe I
3951.7480   ;Cr I
3951.9630   ;V II
3952.1960   ;Nd II
3952.3230   ;Co I
3952.6010   ;Fe I
3952.6960   ;Fe I
3952.9130   ;Co I
3953.1510   ;Fe I
3953.5120   ;Fe I
3953.8570   ;Fe I
3954.5300   ;Ni I
3954.7130   ;Fe I
3955.2140   ;Fe I
3955.3410   ;Fe I
3955.7690   ;Fe I
3955.9550   ;Fe I
3956.3340   ;Ti I
3956.4550   ;Fe I
3956.6760   ;Fe I
3957.0530   ;Ca I
3957.6250   ;Co I
3957.9240   ;Co I
3958.2010   ;Ti I
3958.2170   ;Zr II
3958.3990   ;Fe I
3958.6420   ;Pd I
3958.7390   ;Fe I
3959.4530   ;Fe I
3960.2790   ;Fe I
3960.7470   ;Cr I
3961.1400   ;Fe I
3961.5200   ;Al I
3962.3520   ;Fe I
3962.7220   ;Fe I
3962.8510   ;Ti I
3963.1000   ;Fe I
3963.4320   ;Fe I
3963.6710   ;Cr I
3964.2690   ;Ti I
3964.5150   ;Fe I
3965.2360   ;Co I
3965.5090   ;Fe I
3966.0620   ;Fe I
3966.5000   ;Fe I
3966.6300   ;Fe I
3967.0440   ;Ce II
3967.0690   ;Nd II
3968.4690   ;Ca II
3969.2570   ;Fe I
3969.7290   ;Cr I
3970.072    ;H_{Balmer-eps}
3970.0780   ;H
3970.3890   ;Fe I
3971.3230   ;Fe I
3971.8110   ;Fe I
